id;transaction_reference;from_account;to_account;amount;transaction_type;status;location;ip_address;created_at;device_id;narration;fraud_score;blocked;reason;color
1;energetically;majestically presell;cannibalise onset;4639.7;above up gleefully;for a;by disbar;sturdy;2026-05-10T12:27:17;whoa sheepishly sneak;necklace against brr;9159;false;uncommon unzip;YELLOW
2;oof why evenly;because until cycle;restfully zowie unnaturally;17280.04;dividend yum;vast ack;huzzah;whereas neglect newsprint;2026-05-10T05:16:47;hmph whose gladly;very;9091;false;swiftly;RED
3;aha ah readily;silently;beneath;12634.48;commemorate within;catalyst internationalize howl;whereas quicker;lightly damp silently;2026-05-10T06:05:25;oh;psst;19195;false;forenenst quietly;YELLOW
4;sniff;when gah presume;cap wherever;22699.48;nor;than;gah super eventually;appropriate proud unearth;2026-05-10T11:37:15;exterior;atop aw;15006;false;incidentally gosh round;GREEN
5;seemingly abaft;stunt jaggedly;deliberately commonly;26069.37;incidentally meh yuck;round during;behind pharmacopoeia;opera;2026-05-10T11:20:07;amongst ew;condense;8020;true;meaningfully pish;RED
6;regal;abaft selfishly yowza;deployment while smoothly;15134;like smarten;condense among;nervously;till huzzah;2026-05-09T20:56:28;meh blight or;so pity;2006;true;whether hubris;ORANGE
7;jealously;in-joke how uncover;awful ironclad indeed;32245.11;variable boo woot;among;fit;miserly seriously;2026-05-10T02:43:19;ack;when masticate;22650;false;crackle;ORANGE
8;geez gloss playfully;uncomfortable who;knavishly;18665.94;violently huzzah;same rightfully;duh for brr;hamburger;2026-05-10T09:26:19;whether;furthermore yippee;21430;true;softly against gosh;GREEN
9;thunderbolt;lieu;nocturnal arid gah;5266.92;around yawningly;equal acclaimed;through phew;unzip strong;2026-05-10T15:42:03;babyish aha frankly;rationalize nor;20996;false;yum admired abnormally;ORANGE
10;bravely;satirize;version huzzah;25394.47;meh frizz whine;dowse;fast;while;2026-05-09T19:31:11;bleakly confide;unaccountably whose amid;24190;false;brr;YELLOW
